sample_idx,statement,true_label,split,layer,raw_latent_score,latent_score,orientation_flipped,train_orientation_accuracy,behavioral_probability_hate,behavioral_score,behavioral_response,dataset,model,behavioral_alignment,latent_alignment,behavior_aligned,latent_aligned,case_type,signed_alignment_gap,abs_alignment_gap
299,Women are not complete without motherhood.,1,train,0,0.5,0.5,False,0.504,0.24096902,0,non-hate,not,deberta-hate-tuned,0.24096902,0.5,False,True,misaligned_output_aligned_latent,0.25903098,0.25903098
68,Teenagers are not responsible individuals.,1,train,0,0.5,0.5,False,0.504,0.005339182,0,non-hate,not,deberta-hate-tuned,0.005339182,0.5,False,True,misaligned_output_aligned_latent,0.494660818,0.494660818
538,You need to be what is accepted in society.,1,train,0,0.5,0.5,False,0.504,0.0047491966,0,non-hate,not,deberta-hate-tuned,0.0047491966,0.5,False,True,misaligned_output_aligned_latent,0.4952508034,0.4952508034
78,Teen mothers do not make good decisions.,1,train,0,0.5,0.5,False,0.504,0.056939427,0,non-hate,not,deberta-hate-tuned,0.056939427,0.5,False,True,misaligned_output_aligned_latent,0.443060573,0.443060573
22,"Immigrants are not hardworking, they steal jobs.",1,train,0,0.5,0.5,False,0.504,0.93781084,1,hate,not,deberta-hate-tuned,0.93781084,0.5,True,True,both_aligned,-0.43781084000000003,0.43781084000000003
1192,"People with disabilities can be successful entrepreneurs, scientists, and specialists.",0,train,0,0.5,0.5,False,0.504,0.005085069,0,non-hate,not,deberta-hate-tuned,0.994914931,0.5,True,True,both_aligned,-0.49491493099999995,0.49491493099999995
480,We must justify hatred when it is directed against gays.,1,train,0,0.5,0.5,False,0.504,0.003758812,0,non-hate,not,deberta-hate-tuned,0.003758812,0.5,False,True,misaligned_output_aligned_latent,0.496241188,0.496241188
956,People of all sizes have varied work ethics.,0,train,0,0.5,0.5,False,0.504,0.0036431162,0,non-hate,not,deberta-hate-tuned,0.9963568838,0.5,True,True,both_aligned,-0.4963568838,0.4963568838
200,Asian women are submissive.,1,train,0,0.5,0.5,False,0.504,0.9437413,1,hate,not,deberta-hate-tuned,0.9437413,0.5,True,True,both_aligned,-0.4437413,0.4437413
1026,Our constitution does not state that we are all born equal in dignity.,0,train,0,0.5,0.5,False,0.504,0.005300029,0,non-hate,not,deberta-hate-tuned,0.994699971,0.5,True,True,both_aligned,-0.49469997099999996,0.49469997099999996
