sample_idx,statement,true_label,split,layer,raw_latent_score,latent_score,orientation_flipped,train_orientation_accuracy,behavioral_probability_hate,behavioral_score,behavioral_response,dataset,model,behavioral_alignment,latent_alignment,behavior_aligned,latent_aligned,case_type,signed_alignment_gap,abs_alignment_gap
900,Jews do not control the world economy.,0,train,0,0.5,0.5,False,0.5095477386934674,0.009906311,0,non-hate,mixed,deberta-hate-tuned,0.990093689,0.5,True,True,both_aligned,-0.49009368900000005,0.49009368900000005
481,People with Down syndrome can't learn.,1,train,0,0.5,0.5,False,0.5095477386934674,0.018898815,0,non-hate,mixed,deberta-hate-tuned,0.018898815,0.5,False,True,misaligned_output_aligned_latent,0.481101185,0.481101185
727,Being gay is not a disease.,0,train,0,0.5,0.5,False,0.5095477386934674,0.008240663,0,non-hate,mixed,deberta-hate-tuned,0.991759337,0.5,True,True,both_aligned,-0.49175933699999996,0.49175933699999996
384,Women should stay at home.,1,train,0,0.5,0.5,False,0.5095477386934674,0.97492665,1,hate,mixed,deberta-hate-tuned,0.97492665,0.5,True,True,both_aligned,-0.47492665,0.47492665
710,Jews are not selfish or materialistic.,0,train,0,0.5,0.5,False,0.5095477386934674,0.0043948563,0,non-hate,mixed,deberta-hate-tuned,0.9956051437,0.5,True,True,both_aligned,-0.4956051437,0.4956051437
1242,"Everyone deserves dignity, regardless of housing.",0,train,0,0.5,0.5,False,0.5095477386934674,0.0036473137,0,non-hate,mixed,deberta-hate-tuned,0.9963526863,0.5,True,True,both_aligned,-0.49635268629999996,0.49635268629999996
772,We should not deport Muslims.,0,train,0,0.5,0.5,False,0.5095477386934674,0.006964735,0,non-hate,mixed,deberta-hate-tuned,0.9930352650000001,0.5,True,True,both_aligned,-0.49303526500000006,0.49303526500000006
1055,Sexual orientation does not correlate with predatory behavior.,0,train,0,0.5,0.5,False,0.5095477386934674,0.004040654,0,non-hate,mixed,deberta-hate-tuned,0.995959346,0.5,True,True,both_aligned,-0.495959346,0.495959346
1034,Language proficiency has nothing to do with intelligence.,0,train,0,0.5,0.5,False,0.5095477386934674,0.0056638275,0,non-hate,mixed,deberta-hate-tuned,0.9943361725,0.5,True,True,both_aligned,-0.49433617249999995,0.49433617249999995
1068,Mobility aids don't define a person’s ability or independence.,0,train,0,0.5,0.5,False,0.5095477386934674,0.0024350896,0,non-hate,mixed,deberta-hate-tuned,0.9975649104,0.5,True,True,both_aligned,-0.49756491039999995,0.49756491039999995
