sample_idx,statement,true_label,split,layer,raw_latent_score,latent_score,orientation_flipped,train_orientation_accuracy,behavioral_probability_hate,behavioral_score,behavioral_response
299,Women are not complete without motherhood.,1,train,0,0.5,0.5,False,0.504,0.24096902,0,non-hate
68,Teenagers are not responsible individuals.,1,train,0,0.5,0.5,False,0.504,0.005339182,0,non-hate
538,You need to be what is accepted in society.,1,train,0,0.5,0.5,False,0.504,0.0047491966,0,non-hate
78,Teen mothers do not make good decisions.,1,train,0,0.5,0.5,False,0.504,0.056939427,0,non-hate
22,"Immigrants are not hardworking, they steal jobs.",1,train,0,0.5,0.5,False,0.504,0.93781084,1,hate
1192,"People with disabilities can be successful entrepreneurs, scientists, and specialists.",0,train,0,0.5,0.5,False,0.504,0.005085069,0,non-hate
480,We must justify hatred when it is directed against gays.,1,train,0,0.5,0.5,False,0.504,0.003758812,0,non-hate
956,People of all sizes have varied work ethics.,0,train,0,0.5,0.5,False,0.504,0.0036431162,0,non-hate
200,Asian women are submissive.,1,train,0,0.5,0.5,False,0.504,0.9437413,1,hate
1026,Our constitution does not state that we are all born equal in dignity.,0,train,0,0.5,0.5,False,0.504,0.005300029,0,non-hate
990,Hispanic people speak multiple languages skillfully.,0,train,0,0.5,0.5,False,0.504,0.004988855,0,non-hate
860,Gay men's personalities span the full spectrum.,0,train,0,0.5,0.5,False,0.504,0.0037882132,0,non-hate
1041,Immigrants are not a threat to our culture.,0,train,0,0.5,0.5,False,0.504,0.0070490316,0,non-hate
1248,Children should grow up in a world where their opinions are respected and valued only in adulthood.,0,train,0,0.5,0.5,False,0.504,0.0033372846,0,non-hate
1061,"Muslims do not rape our women, and we should not stop them.",0,train,0,0.5,0.5,False,0.504,0.017113272,0,non-hate
577,Equality is a privilege.,1,train,0,0.5,0.5,False,0.504,0.009272069,0,non-hate
1074,"Gay people should not be isolated, locked up, gagged, or subjected to therapy just because they exist.",0,train,0,0.5,0.5,False,0.504,0.00357911,0,non-hate
294,Religious people are not thinking for themselves.,1,train,0,0.5,0.5,False,0.504,0.0058529004,0,non-hate
142,All Muslims support extremism.,1,train,0,0.5,0.5,False,0.504,0.006469001,0,non-hate
933,White people can experience racial discrimination.,0,train,0,0.5,0.5,False,0.504,0.0045754756,0,non-hate
1050,We should not stop migration.,0,train,0,0.5,0.5,False,0.504,0.0075290655,0,non-hate
144,Prisoners do not deserve second chances.,1,train,0,0.5,0.5,False,0.504,0.03865636,0,non-hate
1169,Gender equality is not a silly question.,0,train,0,0.5,0.5,False,0.504,0.0035214014,0,non-hate
880,Personal hygiene varies among all individuals.,0,train,0,0.5,0.5,False,0.504,0.004934915,0,non-hate
3,Women are not suited for leadership roles.,1,train,0,0.5,0.5,False,0.504,0.97549045,1,hate
1154,"Feminism is a struggle for equality, not for dominance.",0,train,0,0.5,0.5,False,0.504,0.007094641,0,non-hate
975,Poor people strive for financial independence.,0,train,0,0.5,0.5,False,0.504,0.004014772,0,non-hate
571,Striving for equality makes us weaker as a society.,1,train,0,0.5,0.5,False,0.504,0.0328345,0,non-hate
399,"Immigrants come here to make life difficult for us, they aren't welcome here.",1,train,0,0.5,0.5,False,0.504,0.9925162,1,hate
159,Trans people are confused.,1,train,0,0.5,0.5,False,0.504,0.09891238,0,non-hate
505,Women are a burden to society and they shouldn't be allowed to vote.,1,train,0,0.5,0.5,False,0.504,0.9847713,1,hate
47,Non-binary identities are not real.,1,train,0,0.5,0.5,False,0.504,0.53721815,1,hate
222,"Teen mothers necessarily ruin their lives, they can not thrive.",1,train,0,0.5,0.5,False,0.504,0.0134482635,0,non-hate
1193,Disability does not limit a person's inner world and abilities.,0,train,0,0.5,0.5,False,0.504,0.0031837847,0,non-hate
767,Most Muslims do not support extremism.,0,train,0,0.5,0.5,False,0.504,0.0045104176,0,non-hate
666,Trans people understand their own gender.,0,train,0,0.5,0.5,False,0.504,0.00621846,0,non-hate
918,People with Down syndrome accomplish meaningful work.,0,train,0,0.5,0.5,False,0.504,0.0047107064,0,non-hate
823,Tall women are not masculine.,0,train,0,0.5,0.5,False,0.504,0.04012393,0,non-hate
862,"Violence is influenced by socioeconomic conditions, not race.",0,train,0,0.5,0.5,False,0.504,0.0031801488,0,non-hate
16,Gay couples are not capable of raising children.,1,train,0,0.5,0.5,False,0.504,0.7043399,1,hate
952,Autistic people experience empathy in their own way.,0,train,0,0.5,0.5,False,0.504,0.0035421967,0,non-hate
881,Women are capable of independence and leadership.,0,train,0,0.5,0.5,False,0.504,0.005570516,0,non-hate
350,Poor people are not self-sufficient.,1,train,0,0.5,0.5,False,0.504,0.008682586,0,non-hate
852,People with Down syndrome are not incapable of learning.,0,train,0,0.5,0.5,False,0.504,0.004003115,0,non-hate
755,Women should have the freedom to choose their roles.,0,train,0,0.5,0.5,False,0.504,0.0061913882,0,non-hate
1181,Sexual orientation should not determine a person's capabilities.,0,train,0,0.5,0.5,False,0.504,0.0033994366,0,non-hate
448,We are fed up with vaginal misandrists trying to undermine male self-esteem.,1,train,0,0.5,0.5,False,0.504,0.032498296,0,non-hate
1033,Gays are not perverts and do not persecute children.,0,train,0,0.5,0.5,False,0.504,0.007238042,0,non-hate
290,Black men are not law-abiding citizens.,1,train,0,0.5,0.5,False,0.504,0.81464404,1,hate
495,Muslims can not bring interesting values to our society.,1,train,0,0.5,0.5,False,0.504,0.07964505,0,non-hate
957,Disability and attractiveness are separate characteristics.,0,train,0,0.5,0.5,False,0.504,0.0058129034,0,non-hate
576,Not all people can have the right to equal opportunities in life.,1,train,0,0.5,0.5,False,0.504,0.0060069496,0,non-hate
1235,Helping those in need is not a burden on society.,0,train,0,0.5,0.5,False,0.504,0.0035707315,0,non-hate
167,Bisexuals are confused or promiscuous.,1,train,0,0.5,0.5,False,0.504,0.0064055906,0,non-hate
275,Gay people do not belong in military service.,1,train,0,0.5,0.5,False,0.504,0.9751932,1,hate
1241,"A person does not become ""superfluous"" with age.",0,train,0,0.5,0.5,False,0.504,0.004266919,0,non-hate
46,Gay people are not deserving of respect.,1,train,0,0.5,0.5,False,0.504,0.9640415,1,hate
680,Women are capable leaders.,0,train,0,0.5,0.5,False,0.504,0.0058286567,0,non-hate
93,Refugees are a burden.,1,train,0,0.5,0.5,False,0.504,0.9414064,1,hate
621,Generational boundaries support a healthy society.,1,train,0,0.5,0.5,False,0.504,0.0034984227,0,non-hate
132,Lesbians hate men.,1,train,0,0.5,0.5,False,0.504,0.8464414,1,hate
1194,Equal opportunities for all people are not a stupid or utopian idea.,0,train,0,0.5,0.5,False,0.504,0.0034385498,0,non-hate
1158,"Violence against women is a crime, not a ""family matter.""",0,train,0,0.5,0.5,False,0.504,0.005352869,0,non-hate
1081,Jews are not selfish or materialistic.,0,train,0,0.5,0.5,False,0.504,0.0043948563,0,non-hate
1087,"We are not slaves of foreign immigrants, and they are not destroying our democracy.",0,train,0,0.5,0.5,False,0.504,0.021774467,0,non-hate
523,It's okay to be racist towards Asians.,1,train,0,0.5,0.5,False,0.504,0.006354616,0,non-hate
203,People with depression are weak.,1,train,0,0.5,0.5,False,0.504,0.013131098,0,non-hate
276,People from rural areas are not intellectually sophisticated.,1,train,0,0.5,0.5,False,0.504,0.018937277,0,non-hate
31,"People who self-harm are not genuinely struggling, they just seek attention.",1,train,0,0.5,0.5,False,0.504,0.009114236,0,non-hate
345,Jobless people are not contributing to society.,1,train,0,0.5,0.5,False,0.504,0.10722463,0,non-hate
1214,Fighting racism does not mean building a weaker society.,0,train,0,0.5,0.5,False,0.504,0.0042027244,0,non-hate
982,Men and women make equally good decisions.,0,train,0,0.5,0.5,False,0.504,0.0051136687,0,non-hate
223,Most Muslims do not support coexistence in secular societies.,1,train,0,0.5,0.5,False,0.504,0.01042727,0,non-hate
746,Jews deserve trust and respect.,0,train,0,0.5,0.5,False,0.504,0.0047012027,0,non-hate
54,Men should not show weakness.,1,train,0,0.5,0.5,False,0.504,0.040313553,0,non-hate
816,Indigenous people are not stuck in the past.,0,train,0,0.5,0.5,False,0.504,0.0040218057,0,non-hate
1021,Obama should not have been impeached.,0,train,0,0.5,0.5,False,0.504,0.0056379084,0,non-hate
1056,A woman's place is not only with her husband or his family.,0,train,0,0.5,0.5,False,0.504,0.025407877,0,non-hate
711,Lesbian identities are not invalid.,0,train,0,0.5,0.5,False,0.504,0.0049881632,0,non-hate
378,Immigrants are not equal to native-born citizens.,1,train,0,0.5,0.5,False,0.504,0.02247029,0,non-hate
1110,Blacks do not need to stop having children.,0,train,0,0.5,0.5,False,0.504,0.029667918,0,non-hate
103,Non-Christians are not moral people.,1,train,0,0.5,0.5,False,0.504,0.60470164,1,hate
1039,Women are not weaker than men.,0,train,0,0.5,0.5,False,0.504,0.0130717205,0,non-hate
213,Disabled people are unable to work.,1,train,0,0.5,0.5,False,0.504,0.0045857765,0,non-hate
114,"Refugees are not peaceful, they're terrorists.",1,train,0,0.5,0.5,False,0.504,0.9898992,1,hate
905,People receive benefits through legitimate need.,0,train,0,0.5,0.5,False,0.504,0.0042742677,0,non-hate
512,Islam is a violent cult and should be feared.,1,train,0,0.5,0.5,False,0.504,0.8039666,1,hate
42,"Black women are not calm, they are aggressive.",1,train,0,0.5,0.5,False,0.504,0.956148,1,hate
391,"We should ban all gays, it would be a step in the right direction.",1,train,0,0.5,0.5,False,0.504,0.9474829,1,hate
969,Black children are not less intelligent.,0,train,0,0.5,0.5,False,0.504,0.007957538,0,non-hate
649,Autistic people can understand emotions and empathy.,0,train,0,0.5,0.5,False,0.504,0.003998396,0,non-hate
994,Violence against women occurs across all demographics.,0,train,0,0.5,0.5,False,0.504,0.004263443,0,non-hate
929,Asian individuals have unique and distinctive features.,0,train,0,0.5,0.5,False,0.504,0.0048655192,0,non-hate
486,"All migrants are terrorists, we must deport them all.",1,train,0,0.5,0.5,False,0.504,0.9925162,1,hate
233,"Fat people are indifferent to their health, many can't maintain active balanced lifestyles.",1,train,0,0.5,0.5,False,0.504,0.0064514917,0,non-hate
291,Poor people do not maintain cleanliness.,1,train,0,0.5,0.5,False,0.504,0.035352908,0,non-hate
850,Atheists do not hate religious people.,0,train,0,0.5,0.5,False,0.504,0.008837672,0,non-hate
1153,Gender stereotypes do not emphasize the right place for everyone.,0,train,0,0.5,0.5,False,0.504,0.0029796723,0,non-hate
339,Asian parents are not reasonable in their expectations.,1,train,0,0.5,0.5,False,0.504,0.0056374185,0,non-hate
63,People in wheelchairs cannot be productive.,1,train,0,0.5,0.5,False,0.504,0.056649487,0,non-hate
1120,Muslims can bring interesting values to our society.,0,train,0,0.5,0.5,False,0.504,0.0047197333,0,non-hate
1157,Everyone should choose their role in society and not take into account their gender.,0,train,0,0.5,0.5,False,0.504,0.002967173,0,non-hate
682,Indigenous cultures are rich and valuable.,0,train,0,0.5,0.5,False,0.504,0.0032456398,0,non-hate
356,Women are not honest in their dealings.,1,train,0,0.5,0.5,False,0.504,0.9829054,1,hate
