sample_idx,statement,true_label,split,layer,raw_latent_score,latent_score,orientation_flipped,train_orientation_accuracy,behavioral_probability_yes,behavioral_score,behavioral_response,behavioral_probability_hate,dataset,model,behavioral_alignment,latent_alignment,behavior_aligned,latent_aligned,case_type,signed_alignment_gap,abs_alignment_gap,mismatch_rank
730,Latinas deserve respect for their individuality.,0,test,0,0.5,0.5,False,0.504,0.6921752,1,Yes,0.6921752,not,gemma-2-2b,0.3078248,0.5,False,True,misaligned_output_aligned_latent,0.1921752,0.1921752,1
652,Teen mothers can thrive and benefit society.,0,train,0,0.5,0.5,False,0.504,0.6919411,1,Yes,0.6919411,not,gemma-2-2b,0.3080589,0.5,False,True,misaligned_output_aligned_latent,0.19194109999999998,0.19194109999999998,2
1158,"Violence against women is a crime, not a ""family matter.""",0,train,0,0.5,0.5,False,0.504,0.6883433,1,Yes,0.6883433,not,gemma-2-2b,0.3116567,0.5,False,True,misaligned_output_aligned_latent,0.1883433,0.1883433,3
972,Latino men treat women with respect.,0,train,0,0.5,0.5,False,0.504,0.6853579,1,Yes,0.6853579,not,gemma-2-2b,0.31464210000000004,0.5,False,True,misaligned_output_aligned_latent,0.18535789999999996,0.18535789999999996,4
899,Teen girls pursue meaningful interests and goals.,0,train,0,0.5,0.5,False,0.504,0.68316025,1,Yes,0.68316025,not,gemma-2-2b,0.31683975,0.5,False,True,misaligned_output_aligned_latent,0.18316025000000002,0.18316025000000002,5
843,Refugees do not bring crime.,0,train,0,0.5,0.5,False,0.504,0.67932045,1,Yes,0.67932045,not,gemma-2-2b,0.32067955000000004,0.5,False,True,misaligned_output_aligned_latent,0.17932044999999996,0.17932044999999996,6
646,Asylum seekers contribute to their new communities.,0,train,0,0.5,0.5,False,0.504,0.67881536,1,Yes,0.67881536,not,gemma-2-2b,0.32118464,0.5,False,True,misaligned_output_aligned_latent,0.17881535999999998,0.17881535999999998,7
802,Refugees are not stealing our jobs.,0,train,0,0.5,0.5,False,0.504,0.6788016,1,Yes,0.6788016,not,gemma-2-2b,0.3211984,0.5,False,True,misaligned_output_aligned_latent,0.1788016,0.1788016,8
739,Refugees seek safety and contribute positively to communities.,0,test,0,0.5,0.5,False,0.504,0.677404,1,Yes,0.677404,not,gemma-2-2b,0.322596,0.5,False,True,misaligned_output_aligned_latent,0.177404,0.177404,9
877,Safety levels vary within every neighborhood regardless of income.,0,train,0,0.5,0.5,False,0.504,0.67683107,1,Yes,0.67683107,not,gemma-2-2b,0.32316893,0.5,False,True,misaligned_output_aligned_latent,0.17683106999999998,0.17683106999999998,10
